time,.header,.latitude,.longitude,.altitude,.utm_easting,.utm_northing,.zone,.letter
2022/02/08/16:26:45.076719,$GPGGA,42.34125833333333,-71.09722166666667,11.1,327240.5444966043,4689796.988704077,19,T
2022/02/08/16:26:46.076556,$GPGGA,42.34126,-71.09723166666666,10.8,327239.7252728151,4689797.194093817,19,T
2022/02/08/16:26:47.076888,$GPGGA,42.34126,-71.09724333333334,10.4,327238.764186127,4689797.217799329,19,T
2022/02/08/16:26:48.097683,$GPGGA,42.34125666666667,-71.09725,10.4,327238.2058640188,4689796.861203721,19,T
2022/02/08/16:26:49.076331,$GPGGA,42.34125166666666,-71.09725499999999,10.5,327237.7802750977,4689796.3161507845,19,T
2022/02/08/16:26:50.083672,$GPGGA,42.34125000000001,-71.09726333333333,10.4,327237.0892196272,4689796.1480126325,19,T
2022/02/08/16:26:51.101136,$GPGGA,42.34124833333333,-71.09727,10.4,327236.535462245,4689795.976487988,19,T
2022/02/08/16:26:52.079335,$GPGGA,42.34124666666666,-71.09727333333333,10.4,327236.25630109076,4689795.798190263,19,T
2022/02/08/16:26:53.091115,$GPGGA,42.341243333333324,-71.09728,10.5,327235.69797873497,4689795.441594847,19,T
2022/02/08/16:26:54.093918,$GPGGA,42.34124166666667,-71.09728333333334,10.5,327235.4188175354,4689795.2632971555,19,T
2022/02/08/16:26:55.105660,$GPGGA,42.34123833333333,-71.09728666666666,10.5,327235.1350913845,4689794.899928637,19,T
2022/02/08/16:26:56.111273,$GPGGA,42.341235000000005,-71.09729166666666,10.5,327234.7140670531,4689794.539946718,19,T
2022/02/08/16:26:57.092755,$GPGGA,42.341231666666665,-71.097295,10.5,327234.4303408378,4689794.1765782265,19,T
2022/02/08/16:26:58.114664,$GPGGA,42.341228333333326,-71.09729833333334,10.2,327234.14661459404,4689793.813209746,19,T
2022/02/08/16:26:59.118059,$GPGGA,42.341225,-71.09730333333333,10.0,327233.72559014795,4689793.453227882,19,T
2022/02/08/16:27:00.110002,$GPGGA,42.34122000000001,-71.09730666666665,9.8,327233.4372988632,4689792.904788593,19,T
2022/02/08/16:27:01.083618,$GPGGA,42.34121666666667,-71.09731166666667,9.8,327233.0162743254,4689792.544806769,19,T
2022/02/08/16:27:02.090646,$GPGGA,42.34121333333333,-71.09731833333333,9.9,327232.4579515471,4689792.188211601,19,T
2022/02/08/16:27:03.112509,$GPGGA,42.341208333333334,-71.09732333333334,10.1,327232.0323619038,4689791.643158997,19,T
2022/02/08/16:27:04.091828,$GPGGA,42.34120666666666,-71.09733,10.6,327231.4786040294,4689791.471634738,19,T
2022/02/08/16:27:05.110090,$GPGGA,42.34120333333333,-71.09733333333334,10.8,327231.194877526,4689791.108266372,19,T
2022/02/08/16:27:06.113703,$GPGGA,42.34119999999999,-71.09733666666666,10.9,327230.9111509982,4689790.744898015,19,T
2022/02/08/16:27:07.091717,$GPGGA,42.34119666666667,-71.09734333333334,11.0,327230.3528279658,4689790.38830301,19,T
2022/02/08/16:27:08.096509,$GPGGA,42.341195,-71.09734833333333,11.0,327229.93636818836,4689790.2133922,19,T
2022/02/08/16:27:09.090967,$GPGGA,42.34119166666666,-71.09735166666665,11.0,327229.65264156007,4689789.850023893,19,T
2022/02/08/16:27:10.090933,$GPGGA,42.341190000000005,-71.09735666666667,10.9,327229.23618172994,4689789.675113125,19,T
2022/02/08/16:27:11.096233,$GPGGA,42.341188333333335,-71.09736166666667,11.1,327228.81972188,4689789.50020238,19,T
