time,.header,.latitude,.longitude,.altitude,.utm_easting,.utm_northing,.zone,.letter
2022/02/08/16:11:29.101501,$GPGGA,42.3405266666667,-71.09799,10.3,327175.245403753,4689717.30405901,19,T
2022/02/08/16:11:30.101131,$GPGGA,42.3405266666667,-71.097995,9.5,327174.833504647,4689717.31422215,19,T
2022/02/08/16:11:31.102697,$GPGGA,42.3405266666667,-71.097995,9.5,327174.833504647,4689717.31422215,19,T
2022/02/08/16:11:32.089739,$GPGGA,42.3405266666667,-71.097995,9.5,327174.833504647,4689717.31422215,19,T
2022/02/08/16:11:33.081595,$GPGGA,42.3405266666667,-71.097995,9.5,327174.833504647,4689717.31422215,19,T
2022/02/08/16:11:34.084842,$GPGGA,42.3405266666667,-71.097995,9.5,327174.833504647,4689717.31422215,19,T
2022/02/08/16:11:35.102878,$GPGGA,42.3405266666667,-71.097995,9.5,327174.833504647,4689717.31422215,19,T
2022/02/08/16:11:36.099105,$GPGGA,42.3405266666667,-71.097995,9.4,327174.833504647,4689717.31422215,19,T
2022/02/08/16:11:37.081582,$GPGGA,42.3405266666667,-71.097995,9.4,327174.833504647,4689717.31422215,19,T
2022/02/08/16:11:38.102884,$GPGGA,42.3405266666667,-71.097995,9.4,327174.833504647,4689717.31422215,19,T
2022/02/08/16:11:39.102444,$GPGGA,42.3405266666667,-71.097995,9.4,327174.833504647,4689717.31422215,19,T
2022/02/08/16:11:40.100719,$GPGGA,42.3405266666667,-71.097995,9.4,327174.833504647,4689717.31422215,19,T
2022/02/08/16:11:41.083362,$GPGGA,42.3405266666667,-71.097995,9.4,327174.833504647,4689717.31422215,19,T
2022/02/08/16:11:42.085294,$GPGGA,42.3405266666667,-71.097995,9.4,327174.833504647,4689717.31422215,19,T
2022/02/08/16:11:43.101325,$GPGGA,42.3405266666667,-71.097995,9.4,327174.833504647,4689717.31422215,19,T
2022/02/08/16:11:44.079998,$GPGGA,42.3405266666667,-71.097995,9.3,327174.833504647,4689717.31422215,19,T
2022/02/08/16:11:45.100374,$GPGGA,42.3405266666667,-71.097995,9.3,327174.833504647,4689717.31422215,19,T
