time,.header,.latitude,.longitude,.altitude,.utm_easting,.utm_northing,.zone,.letter
2022/02/08/16:25:50.084285,$GPGGA,42.34113333333333,-71.097225,12.1,327239.92754049785,4689783.11516437,19,T
2022/02/08/16:25:51.085575,$GPGGA,42.34113833333334,-71.09722166666667,12.1,327240.2158316043,4689783.663603918,19,T
2022/02/08/16:25:52.089397,$GPGGA,42.341141666666665,-71.09721833333333,12.2,327240.49955788907,4689784.02697264,19,T
2022/02/08/16:25:53.082930,$GPGGA,42.341145000000004,-71.097215,12.0,327240.7832841432,4689784.390341376,19,T
2022/02/08/16:25:54.091341,$GPGGA,42.34114833333333,-71.09720999999999,12.0,327241.20430871524,4689784.750323663,19,T
2022/02/08/16:25:55.087351,$GPGGA,42.341153333333324,-71.09720666666666,11.9,327241.49259965995,4689785.298763257,19,T
2022/02/08/16:25:56.083935,$GPGGA,42.34115499999999,-71.09720166666666,12.0,327241.9090593939,4689785.473674752,19,T
2022/02/08/16:25:57.102346,$GPGGA,42.34116000000001,-71.09719666666666,11.9,327242.33464857354,4689786.018727941,19,T
2022/02/08/16:25:58.091081,$GPGGA,42.341163333333334,-71.09719166666667,11.9,327242.7556729656,4689786.378710317,19,T
2022/02/08/16:25:59.084344,$GPGGA,42.34116666666667,-71.09718833333334,11.8,327243.0393990167,4689786.742079139,19,T
2022/02/08/16:26:00.102329,$GPGGA,42.34117,-71.09718166666667,11.7,327243.5977216226,4689787.098675142,19,T
2022/02/08/16:26:01.095248,$GPGGA,42.34117333333334,-71.09717666666667,11.6,327244.01874588535,4689787.4586575935,19,T
2022/02/08/16:26:02.087222,$GPGGA,42.34117666666666,-71.09717166666665,11.6,327244.43977010716,4689787.818640065,19,T
2022/02/08/16:26:03.087364,$GPGGA,42.34118,-71.09716833333333,11.5,327244.72349601076,4689788.182008953,19,T
2022/02/08/16:26:04.108634,$GPGGA,42.341184999999996,-71.09716333333334,11.5,327245.1490848148,4689788.7270623,19,T
2022/02/08/16:26:05.105937,$GPGGA,42.341188333333335,-71.09716,11.4,327245.4328106492,4689789.090431213,19,T
2022/02/08/16:26:06.091799,$GPGGA,42.34119333333333,-71.097155,11.3,327245.85839934845,4689789.635484601,19,T
2022/02/08/16:26:07.108106,$GPGGA,42.34119666666667,-71.09715166666666,11.3,327246.14212510944,4689789.998853542,19,T
2022/02/08/16:26:08.102120,$GPGGA,42.34120166666666,-71.09714833333334,11.4,327246.4304154762,4689790.547293327,19,T
2022/02/08/16:26:09.103057,$GPGGA,42.34120500000001,-71.097145,11.4,327246.7141411754,4689790.91066229,19,T
